Analyzing image "Jampack Summer 2K.cue"...
000148a7 00000074 00039cdc f TOMBA2/BIN/A00.BIN
0001491b 00000002 00000e74 f TOMBA2/BIN/DEMO.BIN
0001491d 00000003 00001335 f TOMBA2/BIN/GAME.BIN
00014920 00000007 0000352c f TOMBA2/BIN/OPN.BIN
00014927 00000009 00004558 f TOMBA2/BIN/SOP.BIN
00014930 00000001 00000004 f TOMBA2/BIN/START.BIN
00014931 00000001 00000800 d TOMBA2/CD
00014932 00000500 002da000 x TOMBA2/CD/LOGO.STR
00014e32 000001a4 000d2000 f TOMBA2/CD/TOMBA2.DAT
00014fd6 00000030 00018000 f TOMBA2/CD/TOMBA2.IDX
00015006 0000010a 00085000 f TOMBA2/CD/TOMBA2.IMG
00015110 00000103 00081800 f TOMBA2/CD/TOMBA2.SND
00015213 00001e28 01132d00 x TOMBA2/CD/UNDER.XA
0001703b 00000001 00000800 d SYPHON
0001703c 0000038c 001c6000 f SYPHON/SYPHON.EXE
000173c8 00000001 00000800 d SYPHON/BIN
000173c9 00000023 000114d0 f SYPHON/BIN/INIT.OVL
000173ec 00000003 0000168f f SYPHON/DISK1.INF
000173ef 00000018 0000c000 f SYPHON/TITLE.HOG
00017407 0000057d 002be394 f SYPHON/TRAIN.FOG
00017984 00000c60 0070ec00 x SYPHON/TRAIN.XA
000185e4 000025a9 0157a620 x SYPHON/MOVIE1.HOG
0001ab8d 0000015e 000af000 f HARNESS.EXE
0001aceb 00000001 00000800 d SPIDEY
0001acec 00000001 0000021d f SPIDEY/CD.HED
0001aced 000004c1 00260800 f SPIDEY/CD.WAD
0001b1ae 00000620 0037e400 x SPIDEY/COMPILED.XA
0001b7ce 00001670 00ccbe00 x SPIDEY/TEST01.STR
0001ce3e 00000001 00000800 d NASCRUM
0001ce3f 00000125 00092800 f NASCRUM/RUMBLE.EXE
0001cf64 00000ff0 007f8000 f NASCRUM/BB.AV
0001df54 00000019 0000c238 f NASCRUM/BB2.LSC
0001df6d 00000240 00120000 f NASCRUM/BB2.TRK
0001e1ad 00000d68 006b4000 f NASCRUM/FE.TRK
0001ef15 00000017 0000b4c8 f NASCRUM/FELD.LSC
0001ef2c 000003cc 001e6000 f NASCRUM/GLBLDATA.PSX
0001f2f8 0000001c 0000d9ba f NASCRUM/LEGAL.LSC
0001f314 0000129c 0094e000 f NASCRUM/MC.AV
000205b0 00000015 0000a3a0 f NASCRUM/MC3.LSC
000205c5 00000240 00120000 f NASCRUM/MC3.TRK
00020805 00000017 0000b3fe f NASCRUM/FEATURE.LSC
0002081c 00000001 00000800 d GRIND
0002081d 000000e4 00072000 f GRIND/PSX.EXE
00020901 00000b33 0059975c f GRIND/SLIP.GRV
00021434 00000001 00000800 d LOD
00021435 000001b3 000d9800 f LOD/DRGN.EXE
000215e8 00000001 00000800 d LOD/OVL
000215e9 00000040 0001fba8 f LOD/OVL/BTTL.OV_
00021629 00000029 000142f0 f LOD/OVL/SMAP.OV_
00021652 0000001a 0000cbb8 f LOD/OVL/S_BTLD.OV_
0002166c 00000030 00017e1c f LOD/OVL/S_EFFE.OV_
0002169c 00000003 000012e8 f LOD/OVL/S_INIT.OV_
0002169f 00000026 0001286c f LOD/OVL/S_ITEM.OV_
000216c5 00000004 00001fe0 f LOD/OVL/S_STRM.OV_
000216c9 00000024 00011a6c f LOD/OVL/TEMP.OV_
000216ed 00000009 000044c0 f LOD/OVL/TTLE.OV_
000216f6 0000002b 00015470 f LOD/OVL/WMAP.OV_
00021721 00000001 00000800 d LOD/SECT
00021722 00001a52 00d29000 f LOD/SECT/DRGN0.BIN
00023174 00000143 000a1800 f LOD/SECT/DRGN1.BIN
000232b7 0000142d 00a16800 f LOD/SECT/DRGN21.BIN
000246e4 00000001 00000800 d LOD/SIM
000246e5 00000011 00008058 f LOD/SIM/MES.MVB
000246f6 00000001 00000800 d LOD/SUBMAP
000246f7 00000005 000021f0 f LOD/SUBMAP/NEWROOT.RDT
000246fc 00000001 00000800 d LOD/XA
000246fd 000010a0 0097b400 x LOD/XA/LODXA00.XA
0002579d 00000001 00000800 d PROSKATE
0002579e 00000003 000012c9 f PROSKATE/CD.HED
000257a1 00000c3e 0061f000 f PROSKATE/CD.WAD
000263df 00000840 004b4800 x PROSKATE/ATVILOGO.STR
00026c1f 00000710 00407200 x PROSKATE/LOGO.STR
0002732f 00004658 0281e300 x PROSKATE/COMPILED.XA
0002b987 000008d9 0046c800 f PROSKATE/MAR.STR
0002c260 00000217 0010b800 f PROSKATE/STATIC.STR
0002c477 000001af 000d7800 f PROSKATE.EXE
0002c626 00000001 00000800 d MOVIES2
0002c627 00006d08 03e2e900 x MOVIES2/HSG.STR
0003332f 00005150 02e5fa00 x MOVIES2/DRAGOON.STR
0003847f 00004a78 02a78700 x MOVIES2/SFCM1.STR
0003cef7 00001970 00e81e00 x MOVIES2/SPYROCM1.STR
0003e867 0000012c 00096000 f MOVIES2/ENDCAP.STR
0003e993 000034bc 01a5e000 f PAD.DAT
